CS-6290,F,2015-1,10
CS-6290,F,2015-3,6
CS-6290,F,2016-1,6
CS-6290,F,2016-3,6
CS-6290,F,2017-1,1
CS-6290,W,2014-3,60
CS-6290,W,2015-1,72
CS-6290,W,2015-3,44
CS-6290,W,2016-1,29
CS-6290,W,2016-3,44
CS-6290,W,2017-1,25
CS-6300,A,2014-1,85
CS-6300,A,2014-2,174
CS-6300,A,2014-3,163
CS-6300,A,2015-1,241
CS-6300,A,2015-2,143
CS-6300,A,2015-3,213
CS-6300,A,2016-1,213
CS-6300,A,2016-2,137
CS-6300,A,2016-3,281
CS-6300,A,2017-1,248
CS-6300,A,2017-2,139
CS-6300,B,2014-1,18
CS-6300,B,2014-2,12
CS-6300,B,2014-3,43
CS-6300,B,2015-1,41
CS-6300,B,2015-2,40
CS-6300,B,2015-3,69
CS-6300,B,2016-1,91
CS-6300,B,2016-2,37
CS-6300,B,2016-3,51
CS-6300,B,2017-1,71
CS-6300,B,2017-2,28
CS-6300,C,2014-1,8
CS-6300,C,2014-2,3
CS-6300,C,2014-3,13
CS-6300,C,2015-1,10
CS-6300,C,2015-2,13
CS-6300,C,2015-3,10
CS-6300,C,2016-1,16
CS-6300,C,2016-2,8
CS-6300,C,2016-3,17
CS-6300,C,2017-1,11
CS-6300,C,2017-2,7
CS-6300,D,2014-1,3
CS-6300,D,2014-2,3
CS-6300,D,2014-3,6
CS-6300,D,2015-1,4
CS-6300,D,2015-2,3
CS-6300,D,2015-3,9
CS-6300,D,2016-1,5
CS-6300,D,2016-2,3
CS-6300,D,2016-3,8
CS-6300,D,2017-1,8
CS-6300,D,2017-2,5
CS-6300,F,2014-1,8
CS-6300,F,2014-2,7
CS-6300,F,2014-3,8
CS-6300,F,2015-1,1
CS-6300,F,2015-2,9
CS-6300,F,2015-3,4
CS-6300,F,2016-1,0
CS-6300,F,2016-2,3
CS-6300,F,2016-3,4
CS-6300,F,2017-1,11
CS-6300,F,2017-2,1
CS-6300,W,2014-1,8
CS-6300,W,2014-2,7
CS-6300,W,2014-3,25
CS-6300,W,2015-1,24
CS-6300,W,2015-2,24
CS-6300,W,2015-3,47
CS-6300,W,2016-1,34
CS-6300,W,2016-2,12
CS-6300,W,2016-3,35
CS-6300,W,2017-1,39
CS-6300,W,2017-2,18
CS-6310,A,2014-3,82
CS-6310,A,2015-1,88
CS-6310,A,2015-3,131
CS-6310,A,2016-1,99
CS-6310,A,2016-2,71
CS-6310,A,2016-3,143
CS-6310,A,2017-1,156
CS-6310,A,2017-2,84
CS-6310,B,2014-3,53
CS-6310,B,2015-1,44
CS-6310,B,2015-3,36
CS-6310,B,2016-1,16
CS-6310,B,2016-2,46
CS-6310,B,2016-3,52
CS-6310,B,2017-1,6
CS-6310,B,2017-2,20
CS-6310,C,2014-3,4
CS-6310,C,2015-1,5
CS-6310,C,2015-3,8
CS-6310,C,2016-1,3
CS-6310,C,2016-2,7
CS-6310,C,2016-3,12
CS-6310,C,2017-1,2
CS-6310,C,2017-2,1
CS-6310,D,2014-3,0
CS-6310,D,2015-1,0
CS-6310,D,2015-3,0
CS-6310,D,2016-1,3
CS-6310,D,2016-2,1
CS-6310,D,2016-3,0
CS-6310,D,2017-1,1
CS-6310,D,2017-2,1
CS-6310,F,2014-3,6
CS-6310,F,2015-1,4
CS-6310,F,2015-3,5
CS-6310,F,2016-1,3
